"date","pd","time","team","g_id","g_last","g_first","a1_id","a1_last","a1_first","a2_id","a2_last","a2_first"
"2016-10-13","1","0:59","WSH",5451,"Burakovsky","Andre",4264,"Backstrom","Nicklas",4882,"Johansson","Marcus"
"2016-10-13","2","8:47","PIT",4523,"Hornqvist","Patric",4030,"Letang","Kris",3652,"Malkin","Evgeni"
"2016-10-13","2","18:52","PIT",3652,"Malkin","Evgeni",5892,"Sheary","Conor",NA,NA,NA
"2016-10-13","3","6:13","WSH",5451,"Burakovsky","Andre",4264,"Backstrom","Nicklas",4300,"Niskanen","Matt"
"2016-10-15","1","11:46","PIT",4905,"Cole","Ian",701,"Daley","Trevor",3652,"Malkin","Evgeni"
"2016-10-15","1","14:13","ANA",4800,"Fowler","Cam",3623,"Getzlaf","Ryan",787,"Kesler","Ryan"
"2016-10-15","2","2:03","PIT",5892,"Sheary","Conor",898,"Kunitz","Chris",257,"Cullen","Matt"
"2016-10-15","2","7:58","PIT",4008,"Kessel","Phil",4523,"Hornqvist","Patric",NA,NA,NA
"2016-10-15","2","10:27","ANA",3626,"Perry","Corey",3623,"Getzlaf","Ryan",NA,NA,NA
"2016-10-17","1","8:57","PIT",4008,"Kessel","Phil",4030,"Letang","Kris",4775,"Bonino","Nick"
"2016-10-17","1","9:33","PIT",257,"Cullen","Matt",898,"Kunitz","Chris",5892,"Sheary","Conor"
"2016-10-17","1","16:27","COL",411,"Iginla","Jarome",5231,"MacKinnon","Nathan",5075,"Barrie","Tyson"
"2016-10-17","1","17:50","COL",4971,"Wiercioch","Patrick",3633,"Bourque","Rene",936,"Tyutin","Fedor"
"2016-10-17","3","9:12","PIT",701,"Daley","Trevor",257,"Cullen","Matt",5118,"Schultz","Justin"
"2016-10-17","3","13:28","COL",4986,"Landeskog","Gabriel",5108,"Grigorenko","Mikhail",4268,"Johnson","Erik"
"2016-10-17","4","0:22","COL",4986,"Landeskog","Gabriel",5231,"MacKinnon","Nathan",4268,"Johnson","Erik"
"2016-10-18","1","0:23","MTL",4603,"Pacioretty","Max",4929,"Petry","Jeff",NA,NA,NA
"2016-10-18","2","12:07","MTL",4739,"Desharnais","David",4603,"Pacioretty","Max",NA,NA,NA
"2016-10-18","3","4:31","MTL",4100,"Radulov","Alexander",5127,"Galchenyuk","Alex",4645,"Montoya","Al"
"2016-10-18","3","13:44","MTL",4739,"Desharnais","David",4929,"Petry","Jeff",206,"Markov","Andrei"
"2016-10-20","2","5:04","SJS",5255,"Hertl","Tomas",4136,"Pavelski","Joe",15,"Burns","Brent"
"2016-10-20","2","16:15","SJS",376,"Marleau","Patrick",4715,"Couture","Logan",NA,NA,NA
"2016-10-20","3","6:47","PIT",3652,"Malkin","Evgeni",NA,NA,NA,NA,NA,NA
"2016-10-20","3","9:01","PIT",5492,"Wilson","Scott",257,"Cullen","Matt",4523,"Hornqvist","Patric"
"2016-10-20","3","14:02","PIT",4523,"Hornqvist","Patric",4008,"Kessel","Phil",3652,"Malkin","Evgeni"
"2016-10-22","1","0:52","PIT",5492,"Wilson","Scott",4523,"Hornqvist","Patric",257,"Cullen","Matt"
"2016-10-22","1","3:08","NSH",5538,"Arvidsson","Viktor",4671,"Subban","P.K.",4869,"Ellis","Ryan"
"2016-10-22","2","2:26","NSH",5438,"Fiala","Kevin",3880,"Carle","Matthew",NA,NA,NA
"2016-10-22","2","10:36","NSH",5352,"Jarnkrok","Calle",4607,"Weber","Yannick",5877,"Saros","Juuse"
"2016-10-22","2","11:32","NSH",5438,"Fiala","Kevin",5210,"Forsberg","Filip",4671,"Subban","P.K."
"2016-10-22","2","19:24","NSH",5538,"Arvidsson","Viktor",440,"Ribeiro","Mike",5210,"Forsberg","Filip"
"2016-10-25","1","18:02","FLO",5092,"Smith","Reilly",5921,"Matheson","Michael",4948,"Sceviour","Colton"
"2016-10-25","2","6:08","FLO",5192,"Pysyk","Mark",10081,"Harper","Shane",5473,"Marchessault","Jonathan"
"2016-10-25","2","13:41","PIT",3490,"Crosby","Sidney",3652,"Malkin","Evgeni",4008,"Kessel","Phil"
"2016-10-25","3","5:36","PIT",5038,"Hagelin","Carl",4775,"Bonino","Nick",NA,NA,NA
"2016-10-25","3","9:42","PIT",3819,"Fehr","Eric",5907,"Kuhnhackl","Tom",257,"Cullen","Matt"
"2016-10-27","1","0:46","PIT",4523,"Hornqvist","Patric",3490,"Crosby","Sidney",4008,"Kessel","Phil"
"2016-10-27","2","15:13","NYI",4915,"Hamonic","Travis",5523,"Prince","Shane",5226,"Nelson","Brock"
"2016-10-27","3","12:48","PIT",3652,"Malkin","Evgeni",4008,"Kessel","Phil",898,"Kunitz","Chris"
"2016-10-27","3","15:38","NYI",5523,"Prince","Shane",5226,"Nelson","Brock",4915,"Hamonic","Travis"
"2016-10-27","3","17:35","PIT",3490,"Crosby","Sidney",5492,"Wilson","Scott",5118,"Schultz","Justin"
"2016-10-27","3","18:07","PIT",4008,"Kessel","Phil",3652,"Malkin","Evgeni",701,"Daley","Trevor"
"2016-10-29","1","9:48","PHI",4497,"Voracek","Jakub",5087,"Manning","Brandon",5185,"Gudas","Radko"
"2016-10-29","1","13:02","PHI",4514,"Simmonds","Wayne",4712,"Schenn","Brayden",5440,"Gostisbehere","Shayne"
"2016-10-29","1","15:44","PIT",3490,"Crosby","Sidney",4523,"Hornqvist","Patric",5492,"Wilson","Scott"
"2016-10-29","1","16:27","PIT",3490,"Crosby","Sidney",4523,"Hornqvist","Patric",4008,"Kessel","Phil"
"2016-10-29","1","16:39","PIT",257,"Cullen","Matt",5907,"Kuhnhackl","Tom",NA,NA,NA
"2016-10-29","2","9:38","PIT",3652,"Malkin","Evgeni",4008,"Kessel","Phil",898,"Kunitz","Chris"
"2016-10-29","2","13:16","PHI",4394,"Giroux","Claude",4514,"Simmonds","Wayne",5185,"Gudas","Radko"
"2016-10-29","3","8:33","PIT",3652,"Malkin","Evgeni",5259,"Maatta","Olli",NA,NA,NA
"2016-11-02","1","7:41","PIT",3652,"Malkin","Evgeni",4008,"Kessel","Phil",898,"Kunitz","Chris"
"2016-11-02","1","10:24","PIT",257,"Cullen","Matt",4731,"Sestito","Tom",3819,"Fehr","Eric"
"2016-11-02","1","15:49","ANA",4800,"Fowler","Cam",5158,"Vatanen","Sami",787,"Kesler","Ryan"
"2016-11-02","2","16:42","PIT",5500,"Rust","Bryan",4775,"Bonino","Nick",4030,"Letang","Kris"
"2016-11-02","3","1:27","PIT",4030,"Letang","Kris",5118,"Schultz","Justin",NA,NA,NA
"2016-11-02","3","7:14","PIT",4523,"Hornqvist","Patric",3490,"Crosby","Sidney",5038,"Hagelin","Carl"
"2016-11-03","1","7:28","PIT",3490,"Crosby","Sidney",4523,"Hornqvist","Patric",4030,"Letang","Kris"
"2016-11-03","2","5:25","LAK",4597,"Lewis","Trevor",4889,"Clifford","Kyle",4512,"Martinez","Alec"
