id,last,first,pos
5406,Aaltonen,Miro,C
5263,Abbott,Spencer,LW
4419,Abdelkader,Justin,LW
11861,Abeltshauser,Konrad,D
9554,Aberg,Pontus,LW
5927,Acciari,Noel,C
12045,Acolatse,Sena,D
5249,Acton,Will,C
4897,Adam,Luke,C
236,Adams,Craig,RW
5802,Addison,Jeremiah,LW
527,Aebischer,David,G
446,Afanasenkov,Dmitri,LW
160,Afinogenov,Maxim,RW
5353,Agostino,Kenny,LW
5234,Agozzino,Andrew,LW
5704,Ahl,Filip,LW
4537,Ahnelov,Jonas,D
5630,Aho,Sebastian,RW
5208,Aittokallio,Sami,G
5223,Akeson,Jason,RW
635,Albelin,Tommy,D
5303,Albert,John,C
3700,Alberts,Andrew,D
11787,Alderson,Brandon,RW
4491,Aliu,Akim,RW
422,Allen,Bryan,D
5107,Allen,Jake,G
4220,Allen,Bobby,D
5318,Allen,Conor,D
717,Allison,Jamie,D
1019,Allison,Jason,C
4768,Almond,Cody,C
5287,Almquist,Adam,D
5541,Alt,Mark,D
11725,Altshuller,Daniel,G
12465,Alves,Jorge,G
4554,Alzner,Karl,D
12009,Amadio,Michael,C
12485,Anas,Sam,C
12011,Andersen,Niclas,D
5109,Andersen,Frederik,G
5151,Anderson,Matt,RW
5513,Anderson,Josh,RW
757,Anderson,Craig,G
4849,Andersson,Jonas,RW
5056,Andersson,Joakim,C
5392,Andersson,Peter,D
5647,Andersson,Rasmus,D
5465,Andreoff,Andy,LW
5494,Andrighetto,Sven,RW
5070,Angelidis,Mike,LW
1008,Angelstad,Mel,LW
4620,Anisimov,Artem,C
575,Antropov,Nikolai,C
12262,Appleby,Kenneth,G
5763,Appleton,Mason,C
5929,Archibald,Josh,RW
5280,Archibald,Darren,RW
5162,Arcobello,Mark,C
5505,Armia,Joel,RW
273,Armstrong,Derek,C
4541,Armstrong,Riley,RW
4694,Armstrong,John,C
4917,Arniel,Jamie,C
5382,Arnold,Bill,C
5849,Arnold,Scott,D
38,Arnott,Jason,C
4732,Arsene,Dean,D
3740,Artyukhin,Evgeny,RW
423,Arvedson,Magnus,LW
5538,Arvidsson,Viktor,LW
115,Asham,Arron,RW
5086,Ashton,Carter,RW
12287,Aston-Reese,Zachary,C
11856,Asuchak,Spencer,C
5853,Athanasiou,Andreas,C
5011,Atkinson,Cam,RW
829,Aubin,Jean-Sebastien,G
330,Aubin,Serge,C
11866,Aubry,Louis-Marc,C
116,Aucoin,Adrian,D
3856,Aucoin,Keith,RW
198,Audette,Donald,RW
5160,Audy-Marchessault,Jonathan,C
12049,Auger,Justin,RW
823,Auld,Alexander,G
4912,Aulie,Keith,D
3494,Aulin,Jared,C
12293,Austin,Brady,D
10080,Auvitu,Yohann,D
95,Axelsson,P.J.,LW
883,Babchuk,Anton,D
3815,Bacashihua,Jason,G
4922,Bachman,Richard,G
5727,Bachman,Karch,LW
4179,Backes,David,C
4776,Backlund,Johan,G
4609,Backlund,Mikael,C
630,Backman,Christian,D
4037,Backstrom,Niklas,G
4264,Backstrom,Nicklas,C
12024,Baddock,Brandon,LW
4998,Baertschi,Sven,LW
4847,Bagnall,Drew,D
4469,Bailey,Jason,RW
4527,Bailey,Joshua,LW
5539,Bailey,Casey,C
5913,Bailey,Justin,C
4458,Baines,Ajay,C
3704,Balastik,Jaroslav,RW
5744,Balcers,Rudolfs,LW
4487,Baldwin,Gord,D
908,Balej,Jozef,RW
3717,Ballard,Keith,D
5218,Bancks,Carter,LW
5206,Bang,Daniel,LW
1128,Banham,Frank,RW
10092,Baptiste,Nicholas,RW
4327,Baranka,Ivan,D
11708,Barbashev,Ivan,C
11825,Barber,Riley,RW
5205,Barberio,Mark,D
4225,Barch,Krys,RW
11797,Bardreau,Cole,C
985,Barinka,Michal,D
3662,Barker,Cam,D
5241,Barkov,Aleksander,C
834,Barnes,Ryan,LW
12017,Barnes,Tyler,RW
890,Barney,Scott,C
528,Baron,Murray,D
5075,Barrie,Tyson,D
1071,Bartecko,Lubos,LW
4936,Bartkowski,Matt,D
5183,Bartley,Victor,D
905,Bartovic,Milan,RW
4727,Bartulis,Oskars,D
5611,Barzal,Mathew,C
4339,Bass,Cody,C
508,Battaglia,Bates,LW
466,Baumgartner,Nolan,D
5547,Baun,Kyle,RW
690,Bayda,Ryan,LW
4492,Beach,Kyle,C
11865,Beach,Cody,RW
4456,Beagle,Jay,C
9639,Bean,Jake,D
5719,Bear,Ethan,D
3703,Beauchemin,Francois,D
5666,Beaudin,Jean-Christophe,C
4859,Beaudoin,Mathieu,RW
904,Beaudoin,Eric,LW
5002,Beaulieu,Nathan,D
4530,Beaulieu,Josh,RW
5235,Beaupre,Gabriel,D
5623,Beauvillier,Anthony,LW
5194,Beck,Taylor,LW
5790,Becker,Jack,C
4395,Beckford-Tseu,Chris,G
616,Bednar,Jaroslav,C
5801,Bednard,Ryan,G
811,Beech,Kris,C
632,Begin,Steve,LW
868,Bekar,Derek,C
3737,Belanger,Ken,LW
4459,Beleskey,Matt,LW
593,Belfour,Ed,G
25,Bell,Mark,LW
3877,Bell,Brendan,D
5444,Bellemare,Pierre-Edouard,LW
4814,Bellemore,Brett,D
9645,Bellows,Keiffer,LW
5248,Belov,Anton,D
5059,Benn,Jordie,D
4707,Benn,Jamie,LW
5169,Bennett,Beau,RW
5415,Bennett,Sam,C
10168,Benning,Matthew,D
4958,Benoit,Andre,D
4647,Bentivoglio,Sean,LW
1063,Benysek,Ladislav,D
467,Berehowsky,Drake,D
1125,Berenzweig,Andy,D
577,Berg,Aki,D
118,Bergenheim,Sean,LW
78,Bergeron,Patrice,C
386,Bergeron,Marc-Andre,D
594,Bergevin,Marc,D
4289,Bergfors,Nicklas,RW
99,Berglund,Christian,LW
4545,Berglund,Patrik,C
3682,Berkhoel,Adam,G
5714,Bernhardt,Daniel,RW
3758,Bernier,Steve,RW
4271,Bernier,Jonathan,G
5286,Berra,Reto,G
751,Berry,Rick,D
4422,Berti,Adam,LW
5852,Bertschy,Christoph,C
424,Bertuzzi,Todd,RW
10178,Bertuzzi,Tyler,LW
1082,Berube,Craig,LW
5404,Berube,Jean-Francois,G
11835,Bethune,Jared,C
11831,Betz,Nick,RW
979,Bezina,Goran,D
11550,Bibeau,Antoine,G
828,Bicek,Jiri,RW
5054,Bickel,Stu,D
4258,Bickell,Bryan,LW
5524,Biega,Alex,D
5537,Biega,Danny,D
3821,Bieksa,Kevin,D
694,Bierk,Zac,G
5570,Biggs,Tyler,RW
5236,Bigras,Chris,D
1103,Billington,Craig,G
5289,Billins,Chad,D
5908,Binnington,Jordan,G
4460,Birner,Michal,LW
254,Biron,Mathieu,D
619,Biron,Martin,G
4250,Bisaillon,Sebastien,D
915,Bishai,Mike,C
12013,Bishop,Clark,C
4561,Bishop,Ben,G
4462,Bissonnette,Paul,LW
5395,Bitetto,Anthony,D
5633,Bittner,Paul,LW
4610,Bitz,Byron,RW
8913,Bjorkstrand,Oliver,RW
5201,Bjugstad,Nick,C
12007,Black,Grham,C
1095,Blackburn,Dan,G
5398,Blacker,Jesse,D
5637,Blackwood,Mackenzie,G
11712,Blais,Samuel,LW
119,Blake,Jason,LW
4803,Blanchard,Nicolas,LW
5884,Blandisi,Joseph,C
847,Blatny,Zdenek,LW
11791,Bleackley,Connor,C
11492,Blidh,Anton,LW
4716,Bliznak,Mario,C
11802,Blujus,Dylan,D
4672,Blum,Jonathon,D
4083,Blunden,Michael,RW
4890,Bobrovsky,Sergei,G
3698,Bochenski,Brandon,RW
11801,Bodie,Mat,D
4784,Bodnarchuk,Andrew,D
4538,Boedker,Mikkel,LW
5618,Boeser,Brock,RW
4480,Bogosian,Zach,D
869,Boguniecki,Eric,C
5756,Boikov,Sergei,D
778,Boileau,Patrick,D
4153,Bois,Danny,RW
5766,Boka,Nicholas,D
4572,Bolduc,Alexandre,C
4296,Boll,Jared,RW
4082,Bolland,Dave,C
4819,Bollig,Brandon,LW
65,Bombardir,Brad,D
5735,Bondra,Radovan,RW
4775,Bonino,Nick,C
1005,Bonvie,Dennis,RW
3692,Boogaard,Derek,LW
4139,Booth,David,LW
5688,Booth,Callum,G
754,Bootland,Darryl,RW
5143,Bordeleau,Patrick,LW
4347,Borer,Casey,D
5687,Borgen,William,D
9649,Borgstrom,Henrik,C
5067,Borowiecki,Mark,D
5030,Bortuzzo,Robert,D
161,Botterill,Jason,LW
13,Bouchard,Pierre-Marc,C
485,Bouchard,Joel,D
39,Boucher,Philippe,D
5246,Boucher,Reid,C
715,Boughner,Bob,D
664,Bouillon,Francis,D
237,Boulerice,Jesse,RW
730,Boulton,Eric,LW
4949,Bouma,Lance,LW
614,Boumedienne,Josef,D
5796,Bouramman,Gustav,D
4855,Bourdon,Marc-Andre,D
5237,Bourke,Troy,LW
5244,Bournival,Michael,LW
5549,Bourque,Ryan,C
5057,Bourque,Gabriel,LW
4324,Bourque,Chris,C
5772,Bourque,Simon,D
3633,Bourque,Rene,LW
255,Bouwmeester,Jay,D
11863,Bowey,Madison,D
4662,Bowman,Drayson,LW
4384,Boyce,Darryl,C
4373,Boychuk,Johnny,D
4489,Boychuk,Zach,LW
11824,Boyd,Travis,C
4181,Boyd,Dustin,C
975,Boyes,Brad,RW
447,Boyle,Dan,D
12519,Boyle,Kevin,G
4386,Boyle,Brian,C
4686,Bozak,Tyler,C
5655,Bracco,Jeremy,RW
5726,Bradley,Matthew,C
14,Brandner,Christoph,LW
180,Brashear,Donald,LW
4354,Brassard,Derick,C
4916,Braun,Justin,D
5276,Breen,Christopher,D
893,Brendl,Pavel,RW
5037,Brennan,TJ,D
4210,Brent,Tim,C
387,Brewer,Eric,D
5834,Brickley,Conner,LW
162,Briere,Daniel,C
708,Brigley,Travis,LW
657,Brimanis,Aris,D
4387,Brine,David,C
199,Brisebois,Patrice,D
5661,Brisebois,Guillaume,D
4691,Brittain,Josh,LW
5569,Broadhurst,Alex,C
96,Brodeur,Martin,G
4878,Brodie,T.J.,D
5123,Brodin,Jonas,D
3736,Brodziak,Kyle,C
11807,Brodzinski,Jonny,C
5266,Broll,David,LW
351,Brookbank,Wade,D
4230,Brookbank,Sheldon,D
4065,Brooks,Alex,D
4820,Brophey,Evan,C
5552,Brossoit,Laurent,G
5333,Brouillette,Julien,D
4185,Brouwer,Troy,RW
5095,Brown,J.T.,RW
682,Brown,Sean,D
1122,Brown,Mike,RW
5179,Brown,Chris,C
5457,Brown,Patrick,C
8916,Brown,Connor,RW
9637,Brown,Logan,C
7,Brown,Brad,D
277,Brown,Dustin,LW
5791,Bruce,Riley,D
3699,Brule,Gilbert,C
1014,Brule,Steve,C
6,Brunette,Andrew,LW
5117,Brunner,Damien,RW
4498,Brunnstrom,Fabian,LW
4143,Brust,Barry,G
989,Bryzgalov,Ilja,G
469,Buchberger,Kelly,RW
10075,Buchnevich,Pavel,LW
3635,Budaj,Peter,G
200,Bulis,Jan,LW
5015,Bulmer,Brett,RW
5543,Bunz,Tyler,G
5451,Burakovsky,Andre,LW
11509,Burgdoerfer,Erik,D
4064,Burish,Adam,C
11830,Burke,Taylor,C
4883,Burmistrov,Alexander,C
15,Burns,Brent,D
3674,Burrows,Alexandre,RW
566,Butenschon,Sven,D
4781,Butler,Bobby,RW
4596,Butler,Chris,D
1072,Butsayev,Yuri,LW
4388,Byers,Dane,LW
3874,Byfuglien,Dustin,D
1057,Bykov,Dmitri,D
843,Bylsma,Dan,LW
4943,Byron,Paul,C
12027,Bystrom,Ludwig,D
11308,Caggiula,Drake,LW
529,Cajanek,Petr,LW
